Zeit; Hinterer Farbsensor; Vorderer Farbsensor; Distanzsensor 
20; 2184; 2154; 110
43; 2184; 2154; 109
66; 2184; 2154; 109
89; 2184; 2154; 109
112; 2184; 2154; 106
135; 2184; 2154; 106
158; 2184; 2164; 104
183; 2184; 2154; 104
208; 2184; 2154; 103
232; 2184; 2144; 103
256; 2184; 2154; 103
280; 2184; 2164; 1023
304; 2184; 2164; 1023
328; 2184; 2164; 1023
352; 2184; 2164; 1023
376; 2184; 2134; 31
400; 2184; 2104; 31
424; 2184; 2054; 18
448; 2184; 1945; 14
471; 2184; 1945; 14
495; 2184; 1856; 14
518; 2184; 1707; 15
541; 2184; 1628; 15
565; 2184; 1598; 15
588; 2184; 1578; 21
612; 2184; 1558; 21
637; 2184; 1558; 21
661; 2184; 1548; 27
685; 2184; 1548; 38
708; 2184; 1548; 38
730; 2184; 1548; 38
754; 2184; 1548; 1023
778; 2184; 1548; 1023
802; 2184; 1548; 1023
825; 2184; 1548; 1023
850; 2184; 1548; 1023
873; 2184; 1548; 1023
897; 2184; 1548; 1023
921; 2184; 1548; 1023
944; 2184; 1538; 1023
968; 2184; 1538; 1023
992; 2184; 1538; 1023
1018; 2184; 1727; 1023
1042; 2184; 1727; 1023
1067; 2184; 1836; 1023
1091; 2184; 2005; 1023
1115; 2184; 2045; 1023
1139; 2184; 2074; 1023
1162; 2184; 2124; 1023
1186; 2184; 2124; 1023
1210; 2184; 2124; 1023
1234; 2184; 2124; 1023
1258; 2184; 2124; 1023
1283; 2184; 2144; 1023
1307; 2184; 2164; 1023
1331; 2184; 2174; 1023
1355; 2184; 2174; 1023
1379; 2184; 2174; 1023
1403; 2184; 2174; 1023
1427; 2184; 2154; 1023
1451; 2184; 2144; 1023
1475; 2184; 2104; 1023
1499; 2184; 2104; 1023
1524; 2184; 2084; 1023
1548; 2184; 2084; 1023
1572; 2184; 2084; 1023
1596; 2184; 2084; 1023
1620; 2184; 2084; 1023
1644; 2184; 2074; 1023
1669; 2184; 2064; 1023
1693; 2184; 2064; 1023
1717; 2184; 2054; 1023
1741; 2184; 2054; 1023
1765; 2184; 2064; 1023
1789; 2184; 2064; 1023
1813; 2184; 2064; 1023
1837; 2184; 2074; 1023
1861; 2184; 2074; 1023
1885; 2184; 2094; 1023
1909; 2184; 2104; 1023


2184; 1538; 14; min
2184; 2174; 1023; max
2184; 1949.22; 696.938; mittel
